"Flow 
(Sample: Control cluster->Gemcitabine-treated cluster)",Sample,Source (Control cluster),Target (Gemcitabine-treated cluster),Probability of Flow in Control Cluster,Probability of Flow in Gemcitabine-treated Cluster,Percent of Flow in Control Sample,Percent of Flow in Gemcitabine-treated Sample,STC,RAC score,AAC score,Drug Response Type
P4: C1->G1,P4,P4_C1,P4_G1,0.091651178,0.06790256,0.016645397,0.016277004,0.55120842,0.977868165,0.474950568,Acquired Resistance
P4: C1->G2,P4,P4_C1,P4_G2,0.199663016,0.255918641,0.036262165,0.019771332,0.189048794,0.545233083,0.264819709,Sensitivity
P4: C2->G1,P4,P4_C2,P4_G1,0.901001779,0.692277634,0.162639302,0.165946696,0.000379002,1.020335762,0.49557708,Relatively Intrinsic Resistance
P4: C2->G3,P4,P4_C2,P4_G3,0.098998221,0.09294296,0.017870111,0.006643576,0.999988661,0.371770285,0.180568828,Acquired Resistance
P4: C3->G2,P4,P4_C3,P4_G2,0.100552335,0.057857349,0.01592357,0.004469846,0.791008333,0.280706253,0.136339027,Acquired Resistance
P4: C3->G3,P4,P4_C3,P4_G3,0.899447665,0.90705704,0.142437449,0.064836568,0.044183859,0.455193271,0.221087372,Sensitivity
P4: C4->G2,P4,P4_C4,P4_G2,1,0.50620626,0.104097453,0.039107632,0.331609228,0.375682887,0.182469178,Acquired Resistance
P5: C0->G0,P5,P5_C0,P5_G0,0.61686843,0.729220499,0.266033962,0.344948021,4.29415E-05,1.296631522,0.289797145,Relatively Intrinsic Resistance
P5: C0->G1,P5,P5_C0,P5_G1,0.061214126,0.057740805,0.02639953,0.008048947,0.592814422,0.304889797,0.06814287,Acquired Resistance
P5: C0->G2,P5,P5_C0,P5_G2,0.118353888,0.190281579,0.051041927,0.022664429,0.472073238,0.444035522,0.099241939,Acquired Resistance
P5: C0->G3,P5,P5_C0,P5_G3,0.105338414,0.227251956,0.045428805,0.02251698,0.842503507,0.495654256,0.110778726,Acquired Resistance
P5: C0->G5,P5,P5_C0,P5_G5,0.049935391,0.111987796,0.021535402,0.00735836,0.529288158,0.341686691,0.076366976,Acquired Resistance
P5: C0->G6,P5,P5_C0,P5_G6,0.048289751,0.817985089,0.020825695,0.008458223,0.469897072,0.406143601,0.090773095,Acquired Resistance
P5: C1->G2,P5,P5_C1,P5_G2,0.217467624,0.150444231,0.034939169,0.017919405,0.370608018,0.512874371,0.114627422,Acquired Resistance
P5: C1->G3,P5,P5_C1,P5_G3,0.782532376,0.681553803,0.125724606,0.06753092,0.000177749,0.537133678,0.120049377,Sensitivity
P5: C2->G0,P5,P5_C2,P5_G0,0.12453743,0.132571963,0.015029975,0.062711397,0.592170604,4.17242205,0.932536328,Acquired Resistance
P5: C2->G1,P5,P5_C2,P5_G1,0.737103702,0.648436561,0.088958395,0.090390699,0.000686759,1.016100825,0.227098534,Relatively Intrinsic Resistance
P5: C2->G4,P5,P5_C2,P5_G4,0.054854313,0.05449897,0.00662017,0.005086095,0.240323736,0.768272588,0.171708923,Sensitivity
P5: C2->G5,P5,P5_C2,P5_G5,0.054275223,0.067747502,0.006550282,0.004451472,0.925279289,0.679584834,0.15188721,Acquired Resistance
P5: C2->G6,P5,P5_C2,P5_G6,0.029229332,0.182014911,0.003527583,0.001882091,0.816060279,0.533535665,0.119245221,Acquired Resistance
P5: C3->G4,P5,P5_C3,P5_G4,1,0.757927099,0.112200641,0.070733249,0.000972418,0.630417511,0.140898314,Sensitivity
P5: C4->G0,P5,P5_C4,P5_G0,0.134238506,0.065759319,0.012302454,0.031106568,0.465823715,2.528484798,0.565116352,Acquired Resistance
P5: C4->G2,P5,P5_C4,P5_G2,0.865761494,0.65927419,0.079343784,0.078526114,0.006292465,0.989694597,0.221196743,Relatively Intrinsic Resistance
P5: C5->G1,P5,P5_C5,P5_G1,0.842982032,0.293822634,0.037197397,0.04095826,0.596416172,1.101105542,0.246097089,Acquired Resistance
P5: C5->G4,P5,P5_C5,P5_G4,0.157017968,0.113424498,0.00692857,0.010585297,0.811396367,1.527775194,0.341457756,Acquired Resistance
P5: C6->G0,P5,P5_C6,P5_G0,0.085365274,0.072448219,0.002591705,0.034270663,0.529315087,13.22321369,2.95538826,Acquired Resistance
P5: C6->G4,P5,P5_C6,P5_G4,0.061908268,0.061246394,0.001879546,0.005715796,0.982538648,3.04105162,0.679675037,Acquired Resistance
P5: C6->G5,P5,P5_C6,P5_G5,0.852726458,0.820264702,0.025888923,0.053896974,6.98706E-05,2.0818546,0.465294503,Relatively Intrinsic Resistance
P5: C7->G3,P5,P5_C7,P5_G3,0.881608679,0.091194242,0.007979864,0.009035869,0.44155014,1.132333796,0.253076603,Acquired Resistance
P5: C7->G4,P5,P5_C7,P5_G4,0.118391321,0.01290304,0.001071617,0.001204171,1,1.123695709,0.251145991,Acquired Resistance
P6: C0->G0,P6,P6_C0,P6_G0,0.28607163,0.291056841,0.171266568,0.139509398,0.256254873,0.814574611,0.159900996,Acquired Resistance
P6: C0->G1,P6,P6_C0,P6_G1,0.648911989,0.777553467,0.388493362,0.319832191,0.005066135,0.823262949,0.161606517,Sensitivity
P6: C0->G2,P6,P6_C0,P6_G2,0.065016381,0.090204992,0.03892428,0.008330546,0.614631862,0.214019268,0.042011982,Acquired Resistance
P6: C1->G0,P6,P6_C1,P6_G0,0.705075313,0.708943159,0.194823442,0.339810715,0.05674799,1.744198297,0.342386126,Relatively Intrinsic Resistance
P6: C1->G1,P6,P6_C1,P6_G1,0.189741307,0.222446533,0.052428519,0.091499254,0.307936729,1.745219118,0.342586513,Acquired Resistance
P6: C1->G2,P6,P6_C1,P6_G2,0.066404375,0.086741151,0.018348577,0.008010656,0.854333706,0.436581852,0.085701018,Acquired Resistance
P6: C1->G3,P6,P6_C1,P6_G3,0.038779005,0.124438075,0.010715251,0.002115095,0.647809115,0.197391056,0.038747864,Acquired Resistance
P6: C2->G2,P6,P6_C2,P6_G2,1,0.823053857,0.10745614,0.076010073,0.038452385,0.707359046,0.138854581,Sensitivity
P6: C3->G3,P6,P6_C3,P6_G3,1,0.875561925,0.01754386,0.014882072,0.081846474,0.848278126,0.166516996,Sensitivity
