"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","Flow"
"KEGG_GLUTATHIONE_METABOLISM","KEGG_GLUTATHIONE_METABOLISM","KEGG_GLUTATHIONE_METABOLISM",39,0.694733331112499,1.92660960795581,0.00103842659409725,0.0165204230879108,0.0128188546065594,1183,"tags=41%, list=10%, signal=37%","MGST2/GSTT1/GSTM3/IDH1/GPX1/MGST1/MGST3/TXNDC12/GSTO2/GSTP1/GSTK1/LAP3/GGCT/GSTM4/GSTA4/GSTO1","P1: C0->G1"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE",14,0.846333360280908,1.91894098989797,0.00151821013587924,0.0192224959254168,0.014915500597767,204,"tags=36%, list=2%, signal=35%","HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1","P1: C0->G1"
"KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION",14,0.845809246334141,1.91775263577768,0.00153779967403334,0.0192224959254168,0.014915500597767,204,"tags=36%, list=2%, signal=35%","HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1","P1: C0->G1"
"KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE",14,0.845809246334141,1.91775263577768,0.00153779967403334,0.0192224959254168,0.014915500597767,204,"tags=36%, list=2%, signal=35%","HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1","P1: C0->G1"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",33,0.699517585938077,1.87187586229122,0.00190441862199442,0.0210287533671485,0.0163170477254866,1336,"tags=48%, list=11%, signal=43%","ADH1C/MGST2/GSTT1/GSTM3/MGST1/MGST3/GSTO2/ADH5/GSTP1/GSTK1/EPHX1/AKR1C3/GSTM4/GSTA4/GSTO1/CYP1B1","P1: C0->G1"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",37,0.694316897722172,1.90603033097592,0.00192262887928215,0.0210287533671485,0.0163170477254866,769,"tags=35%, list=6%, signal=33%","CD74/HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/PDIA3/CTSS/CALR/CTSB/PSME1/HLA-C/HSPA2","P1: C0->G1"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",39,0.66582823816908,1.84645103877579,0.00268878360380884,0.0274905126804884,0.0213309842753865,2239,"tags=67%, list=18%, signal=55%","HADHA/ACADM/ECHS1/HIBADH/DLD/ACAT1/HIBCH/ALDH9A1/HADH/ACADSB/ACAA2/ALDH2/HSD17B10/ALDH6A1/IVD/HADHB/ALDH3A2/OXCT1/PCCA/BCAT2/AUH/MCEE/MCCC1/ALDH1B1/PCCB/BCKDHB","P1: C0->G1"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",36,-0.628499517422244,-1.70000375228313,0.00292908246649243,0.0274905126804884,0.0213309842753865,1011,"tags=31%, list=8%, signal=28%","CACNB1/ITGB1/ITGA2/ITGB8/ACTN4/DSC2/DSP/DSG2/ITGA3/JUP/ITGB4","P1: C0->G1"
"KEGG_ECM_RECEPTOR_INTERACTION","KEGG_ECM_RECEPTOR_INTERACTION","KEGG_ECM_RECEPTOR_INTERACTION",39,-0.621837499510043,-1.70193231585094,0.00304110651813948,0.0274905126804884,0.0213309842753865,1612,"tags=44%, list=13%, signal=38%","HSPG2/COL6A2/LAMB2/AGRN/COL6A1/ITGB1/ITGA2/ITGB8/LAMA5/LAMA4/LAMA3/COL1A1/SDC1/LAMC2/ITGA3/ITGB4/LAMB3","P1: C0->G1"
"KEGG_FATTY_ACID_METABOLISM","KEGG_FATTY_ACID_METABOLISM","KEGG_FATTY_ACID_METABOLISM",31,0.692204317328494,1.8219873552713,0.0031417728777701,0.0274905126804884,0.0213309842753865,1074,"tags=45%, list=9%, signal=41%","ADH1C/ECI2/HADHA/ACADM/ACSL3/ADH5/ECHS1/ACAT1/ALDH9A1/HADH/ACADSB/ACAA2/ALDH2/ACSL1","P1: C0->G1"
"KEGG_PROTEASOME","KEGG_PROTEASOME","KEGG_PROTEASOME",39,0.652123649141916,1.80844596300011,0.00427041135627071,0.0355867613022559,0.0276131862134798,2028,"tags=56%, list=17%, signal=47%","PSMB5/PSMC4/PSMC5/PSMB1/PSMB3/PSME1/PSMB6/PSMD12/PSMB7/PSMA1/PSMB10/PSMA5/PSMA7/PSMD4/PSMB9/PSMA3/PSMD13/PSMC2/PSMF1/PSMD11/PSMB4/PSME4","P1: C0->G1"
"KEGG_TRYPTOPHAN_METABOLISM","KEGG_TRYPTOPHAN_METABOLISM","KEGG_TRYPTOPHAN_METABOLISM",24,0.72692803192476,1.8456105804883,0.00529619487574281,0.040586838841953,0.031492945627741,1685,"tags=50%, list=14%, signal=43%","CAT/AOC1/HADHA/ECHS1/ACAT1/ALDH9A1/HADH/ALDH2/CYP1B1/WARS2/ALDH3A2/MAOB","P1: C0->G1"
"KEGG_CELL_ADHESION_MOLECULES_CAMS","KEGG_CELL_ADHESION_MOLECULES_CAMS","KEGG_CELL_ADHESION_MOLECULES_CAMS",54,0.586017314555339,1.72575919674336,0.00537123726916243,0.040586838841953,0.031492945627741,884,"tags=20%, list=7%, signal=19%","HLA-DRA/HLA-DPA1/CLDN10/HLA-DRB1/CLDN2/HLA-DMA/HLA-DPB1/ICAM2/ITGA6/HLA-C/CLDN18","P1: C0->G1"
"KEGG_AXON_GUIDANCE","KEGG_AXON_GUIDANCE","KEGG_AXON_GUIDANCE",93,-0.485560592286746,-1.57405651351527,0.00556619504118212,0.040586838841953,0.031492945627741,1937,"tags=35%, list=16%, signal=30%","SEMA3C/NRAS/EFNA1/SEMA4A/RND1/SRGAP1/SEMA6A/SRGAP2/NGEF/ABLIM3/PLXNA1/ROCK1/ARHGEF12/GNAI2/HRAS/MET/SEMA4G/MAPK3/EPHA1/SEMA4B/SEMA7A/PTK2/RHOD/PLXNA2/EFNA3/ITGB1/NCK1/UNC5B/EFNB1/PLXNB1/SEMA3B/RAC1/PLXNB2","P1: C0->G1"
"KEGG_PATHWAYS_IN_CANCER","KEGG_PATHWAYS_IN_CANCER","KEGG_PATHWAYS_IN_CANCER",219,-0.396894417905742,-1.43901239214165,0.00587799434846826,0.0411459604392778,0.0319267903558908,2360,"tags=35%, list=19%, signal=28%","FZD6/STK36/CTNNA1/BRCA2/MLH1/CBLB/PIK3R2/PIK3CA/RARA/ARNT/BIRC5/GSK3B/MAP2K2/BCL2L1/CDH1/BID/WNT7B/DVL1/TRAF2/CBLC/PTGS2/RALB/GRB2/PIAS4/NRAS/AXIN2/CCDC6/PIAS3/CKS1B/NFKB2/TGFA/VHL/BMP4/PDGFA/LAMB2/CTBP1/HRAS/MET/CASP8/TRAF5/AXIN1/AKT2/BIRC3/BIRC2/MAPK3/PIK3CB/IKBKB/SMAD3/RELA/STAT5B/RALA/PTK2/RUNX1/RALBP1/ITGB1/PML/ITGA2/RALGDS/AKT1/VEGFA/ERBB2/LAMA5/STK4/LAMA4/LAMA3/PPARD/LAMC2/DAPK1/RAC1/MMP1/ITGA3/CDKN1A/SLC2A1/EGLN3/JUP/LAMB3","P1: C0->G1"
"KEGG_N_GLYCAN_BIOSYNTHESIS","KEGG_N_GLYCAN_BIOSYNTHESIS","KEGG_N_GLYCAN_BIOSYNTHESIS",40,0.618183933491968,1.71577118577961,0.00755423164249962,0.0508457899014397,0.0394532745701397,1767,"tags=48%, list=15%, signal=41%","ALG5/DDOST/RPN2/TUSC3/DAD1/FUT8/DPM3/DPM2/MAN1A2/ALG13/MAN1A1/STT3A/DPAGT1/B4GALT3/RPN1/ALG14/MGAT5/ALG1/MGAT1","P1: C0->G1"
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",14,0.774503206744107,1.75607629331236,0.0110541078733944,0.0716469954757044,0.0555937588954338,762,"tags=36%, list=6%, signal=34%","MDH2/MTHFD2/MDH1/GRHPR/ACO2","P1: C0->G1"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",19,0.751404165886898,1.8042630707373,0.0114697330545803,0.071685831591127,0.0556238933849948,204,"tags=26%, list=2%, signal=26%","HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1","P1: C0->G1"
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",16,0.754983626591406,1.74734054635377,0.0144298646495506,0.0870767694369432,0.0675663353826507,1715,"tags=38%, list=14%, signal=32%","DCXR/CRYL1/GUSB/AKR1B1/UGDH/DHDH","P1: C0->G1"
"KEGG_CITRATE_CYCLE_TCA_CYCLE","KEGG_CITRATE_CYCLE_TCA_CYCLE","KEGG_CITRATE_CYCLE_TCA_CYCLE",28,0.647917863836379,1.67743467544801,0.0172381946203704,0.100556135285494,0.0780255124922029,1442,"tags=61%, list=12%, signal=54%","MDH2/SUCLG1/IDH1/MDH1/SDHD/SUCLG2/SDHA/DLD/ACO2/FH/SDHC/IDH3G/IDH3B/SDHB/SUCLA2/PDHA1/PDHB","P1: C0->G1"
"KEGG_LYSOSOME","KEGG_LYSOSOME","KEGG_LYSOSOME",105,0.464271646185069,1.51572857074689,0.0199578774570037,0.112665437257279,0.087421602443242,1988,"tags=37%, list=16%, signal=31%","CTSH/CD63/LAMP2/ASAH1/LAPTM4A/PSAP/CTSS/CTSB/PPT1/ATP6AP1/NPC2/CLTA/AP1M2/CTSC/GUSB/LAMP1/HEXB/SCARB2/FUCA1/SUMF1/AP1S1/GLB1/LGMN/AP1S2/DNASE2/CTSD/GAA/ACP5/HEXA/SLC17A5/NEU1/CLN5/CTSO/ARSA/LAPTM4B/LIPA/AGA/GLA/CTSL","P1: C0->G1"
"KEGG_PROPANOATE_METABOLISM","KEGG_PROPANOATE_METABOLISM","KEGG_PROPANOATE_METABOLISM",28,0.633130333721854,1.6391503231206,0.0222988231437282,0.121946689067264,0.0946232955770045,2213,"tags=61%, list=18%, signal=50%","LDHB/SUCLG1/HADHA/ACADM/SUCLG2/ECHS1/ACAT1/HIBCH/ALDH9A1/ALDH2/ALDH6A1/SUCLA2/ALDH3A2/PCCA/MCEE/ALDH1B1/PCCB","P1: C0->G1"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME","KEGG_SPLICEOSOME",113,-0.424676347538087,-1.42614535249095,0.0240596645649227,0.123609600551036,0.0959136148636607,1799,"tags=35%, list=15%, signal=30%","TCERG1/THOC2/DDX23/SNRPD1/SNRPF/SRSF3/SMNDC1/U2AF1/SF3B1/SNRPB2/ALYREF/CWC15/MAGOHB/PRPF38B/DHX38/SRSF10/SRSF4/THOC1/CHERP/U2SURP/EFTUD2/DDX42/SNRNP70/SNRPG/SNRPA/SNRPA1/DDX39B/SF3A2/SYF2/CCDC12/ACIN1/SRSF1/SNRPD3/RBM25/SNRNP27/DDX46/SNRNP200/SRSF2/HSPA6","P1: C0->G1"
"KEGG_PEROXISOME","KEGG_PEROXISOME","KEGG_PEROXISOME",66,0.500080223491494,1.52950693246345,0.0242405614233362,0.123609600551036,0.0959136148636607,2622,"tags=39%, list=22%, signal=31%","ECH1/ECI2/CAT/IDH1/PRDX5/ACSL3/GSTK1/PMVK/SCP2/SOD2/ACSL1/SOD1/HSD17B4/FAR1/PEX2/ACOT8/DHRS4/EPHX2/NUDT19/PEX11G/PEX19/PEX5/PEX7/HACL1/PEX3/PEX11A","P1: C0->G1"
"KEGG_PROTEIN_EXPORT","KEGG_PROTEIN_EXPORT","KEGG_PROTEIN_EXPORT",22,0.659889924236067,1.61958147324826,0.0247219201102071,0.123609600551036,0.0959136148636607,1616,"tags=50%, list=13%, signal=43%","SEC62/SPCS2/SEC11C/SRPRB/SEC11A/SEC63/SRP14/SRP9/OXA1L/SPCS1/SPCS3","P1: C0->G1"
"KEGG_ARGININE_AND_PROLINE_METABOLISM","KEGG_ARGININE_AND_PROLINE_METABOLISM","KEGG_ARGININE_AND_PROLINE_METABOLISM",41,0.575453023740331,1.599540451699,0.0265382253724257,0.129005262227069,0.100100323773185,1800,"tags=37%, list=15%, signal=31%","OAT/GLUL/GATM/PYCR1/AOC1/AMD1/LAP3/ALDH9A1/ALDH2/ALDH18A1/ARG2/CKMT1B/ALDH3A2/MAOB/ASS1","P1: C0->G1"
"KEGG_ERBB_SIGNALING_PATHWAY","KEGG_ERBB_SIGNALING_PATHWAY","KEGG_ERBB_SIGNALING_PATHWAY",67,-0.470968398078087,-1.42785390523491,0.0304922015738699,0.144219872308844,0.111905946032126,2714,"tags=37%, list=22%, signal=29%","CBLB/PIK3R2/PIK3CA/GSK3B/MAP2K2/EREG/CBLC/GRB2/NRAS/MAP2K7/TGFA/ABL2/HRAS/AKT2/MAPK3/PIK3CB/CAMK2G/STAT5B/PTK2/HBEGF/ERBB3/NCK1/AKT1/ERBB2/CDKN1A","P1: C0->G1"
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",13,0.717447938565349,1.59062054994777,0.0332313348256396,0.153039041960182,0.118749091205194,2111,"tags=38%, list=17%, signal=32%","ALDH9A1/ALDH2/UGDH/ALDH3A2/ALDH1B1","P1: C0->G1"
"KEGG_DILATED_CARDIOMYOPATHY","KEGG_DILATED_CARDIOMYOPATHY","KEGG_DILATED_CARDIOMYOPATHY",41,-0.531315392625479,-1.46405836346577,0.0372975557735347,0.167360827188938,0.129861935081943,2125,"tags=32%, list=17%, signal=26%","ADCY7/PRKACB/ADCY3/CACNB3/ADCY4/CACNG8/GNAS/CACNB1/ITGB1/ITGA2/ITGB8/ITGA3/ITGB4","P1: C0->G1"
"KEGG_TYROSINE_METABOLISM","KEGG_TYROSINE_METABOLISM","KEGG_TYROSINE_METABOLISM",19,0.674240364929925,1.61897823630993,0.0393990656067172,0.172370912029388,0.133749459559645,584,"tags=21%, list=5%, signal=20%","ADH1C/LCMT1/COMT/ADH5","P1: C0->G1"
"KEGG_HISTIDINE_METABOLISM","KEGG_HISTIDINE_METABOLISM","KEGG_HISTIDINE_METABOLISM",18,0.645193141498301,1.52981282161485,0.0424690299104565,0.181270249617802,0.140654810229753,2529,"tags=56%, list=21%, signal=44%","AOC1/LCMT1/ALDH9A1/HNMT/ALDH2/ALDH3A2/MAOB/ALDH1B1/ALDH3A1/METTL2B","P1: C0->G1"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",139,-0.384721711020739,-1.31845685803359,0.046142877602886,0.184505735492578,0.143165352652887,2486,"tags=27%, list=20%, signal=22%","ITGB6/ARPC1A/ARHGEF1/NCKAP1/MAP2K2/MSN/BDKRB2/DOCK1/PXN/NRAS/MYL12B/GIT1/DIAPH2/ARPC5L/PPP1CB/ROCK1/ARHGEF12/PDGFA/SSH3/HRAS/MAPK3/PIK3CB/MYH9/PTK2/DIAPH1/WASF2/ITGB1/ITGA2/ITGB8/ACTN4/RRAS/TMSB4XP8/GSN/TMSB4X/MYH14/RAC1/ITGA3/ITGB4","P1: C0->G1"
"KEGG_ADHERENS_JUNCTION","KEGG_ADHERENS_JUNCTION","KEGG_ADHERENS_JUNCTION",57,-0.486805333067367,-1.43448670420434,0.0475554769777746,0.184505735492578,0.143165352652887,1406,"tags=19%, list=12%, signal=17%","MET/MAPK3/SMAD3/WASF2/ACTN4/INSR/ERBB2/PTPRF/CTNND1/RAC1/LMO7","P1: C0->G1"
"KEGG_SMALL_CELL_LUNG_CANCER","KEGG_SMALL_CELL_LUNG_CANCER","KEGG_SMALL_CELL_LUNG_CANCER",64,-0.456257680706199,-1.37625847215378,0.0475894371446044,0.184505735492578,0.143165352652887,1765,"tags=34%, list=15%, signal=30%","PTGS2/PIAS4/PIAS3/CKS1B/LAMB2/TRAF5/AKT2/BIRC3/BIRC2/PIK3CB/IKBKB/RELA/PTK2/ITGB1/ITGA2/AKT1/LAMA5/LAMA4/LAMA3/LAMC2/ITGA3/LAMB3","P1: C0->G1"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",39,-0.528450668388994,-1.44633810372147,0.0478641139328886,0.184505735492578,0.143165352652887,1817,"tags=26%, list=15%, signal=22%","PRKAG2/CACNB3/CACNG8/CACNB1/PRKAA1/ITGB1/ITGA2/ITGB8/ITGA3/ITGB4","P1: C0->G1"
"KEGG_BLADDER_CANCER","KEGG_BLADDER_CANCER","KEGG_BLADDER_CANCER",34,-0.523938344796987,-1.41502304460399,0.0491493383742911,0.184505735492578,0.143165352652887,1410,"tags=32%, list=12%, signal=29%","MAP2K2/CDH1/NRAS/HRAS/MAPK3/TYMP/VEGFA/ERBB2/DAPK1/MMP1/CDKN1A","P1: C0->G1"
"KEGG_INSULIN_SIGNALING_PATHWAY","KEGG_INSULIN_SIGNALING_PATHWAY","KEGG_INSULIN_SIGNALING_PATHWAY",100,-0.403510982108619,-1.32681008219824,0.0501002004008016,0.184505735492578,0.143165352652887,2788,"tags=36%, list=23%, signal=28%","SOCS4/CBLB/PIK3R2/PRKCZ/PIK3CA/GSK3B/MAP2K2/MKNK2/PHKB/CBLC/RHEB/PHKA2/PPP1R3B/GRB2/PRKACB/NRAS/PRKAG2/CALM3/SREBF1/PPP1CB/HRAS/AKT2/TSC1/MAPK3/PIK3CB/IKBKB/EXOC7/PRKAA1/HK2/TSC2/TRIP10/AKT1/INSR/PTPRF/FASN/PCK1","P1: C0->G1"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION",42,0.505375373298475,1.42709454740393,0.0506072874493927,0.184505735492578,0.143165352652887,569,"tags=14%, list=5%, signal=14%","SLC12A2/KDELR3/KDELR1/ATP6V1G1/KDELR2/ATP6AP1","P1: C0->G1"
"KEGG_BETA_ALANINE_METABOLISM","KEGG_BETA_ALANINE_METABOLISM","KEGG_BETA_ALANINE_METABOLISM",15,0.675345943478339,1.54591505024865,0.0528541226215645,0.188764723648445,0.146470071282101,1588,"tags=47%, list=13%, signal=41%","HADHA/ACADM/ECHS1/HIBCH/ALDH9A1/ALDH2/ALDH3A2","P1: C0->G1"
"KEGG_ABC_TRANSPORTERS","KEGG_ABC_TRANSPORTERS","KEGG_ABC_TRANSPORTERS",21,-0.605559031753118,-1.4865611374491,0.0551330798479087,0.192965779467681,0.149729837902742,2483,"tags=33%, list=20%, signal=27%","TAP1/ABCC10/ABCB9/ABCB8/ABCA5/ABCA2/ABCC3","P1: C0->G1"
