P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
RP4-758J18.13	145	164	124	133	138	95
ANKRD65	14	24	17	10	32	16
RP4-758J18.7	1	0	2	3	2	1
TMEM88B	43	62	51	41	66	38
RP4-758J18.10	28	63	31	31	53	42
VWA1	6697	10546	5947	5600	7074	4318
ATAD3C	162	282	207	160	191	170
ATAD3B	2533	2414	2726	1994	1648	1772
ATAD3A	1753	1410	1700	1487	1265	1096
TMEM240	14	10	10	10	10	10
SSU72	2684	2833	2480	2559	2262	2076
AL645728.1	3	3	6	5	5	7
C1orf233	219	245	265	203	216	177
RP11-345P4.9	38	43	27	41	38	23
MIB2	819	981	863	877	907	816
MMP23B	6	3	4	4	4	7
CDK11B	1336	1214	1279	1240	1001	919
RP11-345P4.10	4	2	1	2	1	1
SLC35E2B	1912	2201	1969	1953	2011	1674
RP11-345P4.7	29	35	27	40	31	27
CDK11A	938	1051	965	1074	955	824
SLC35E2	193	223	196	209	197	160
NADK	1710	1618	1761	1789	1485	1574
GNB1	12110	11610	12025	12090	10171	10684
RP1-140A9.1	2	2	3	3	3	0
CALML6	9	15	7	11	14	18
TMEM52	17	30	21	31	30	11
C1orf222	15	13	15	12	22	24
RP11-547D24.1	3	3	3	3	4	4
GABRD	18	36	15	29	46	25
RP11-547D24.3	2	0	4	0	2	1
PRKCZ	398	381	338	457	392	371
RP5-892K4.1	1	2	3	2	4	2
RP11-181G12.2	46	44	58	68	59	49
C1orf86	978	1201	1010	1190	1214	1067
AL590822.1	11	15	9	8	14	11
RP11-181G12.4	1	0	1	3	4	0
SKI	3144	2608	3133	2458	1926	2014
MORN1	261	319	287	250	239	232
AL589739.1	0	2	2	1	0	1
RER1	3974	4138	4284	4262	3780	3671
PEX10	727	544	678	691	539	560
PLCH2	1941	1770	2317	2216	1830	2158
RP3-395M20.2	23	22	53	23	30	29
RP3-395M20.3	33	36	29	31	42	31
PANK4	961	883	914	935	844	768
HES5	4	1	1	5	2	2
RP3-395M20.12	36	36	29	30	33	26
TNFRSF14	89	82	100	94	118	83
RP3-395M20.7	2	2	2	0	3	4
RP3-395M20.9	0	1	2	0	3	6
FAM213B	410	456	411	597	695	469
MMEL1	8	9	5	8	12	9
RP13-436F16.1	1	0	0	0	0	0
TTC34	11	30	15	15	12	23
RP11-740P5.2	0	1	0	1	1	1
RP11-740P5.3	1	0	1	1	1	1
ACTRT2	0	0	0	0	3	1
LINC00982	27	32	42	38	45	52
PRDM16	280	256	388	291	224	278
RP1-163G9.2	0	1	1	1	2	1
RP11-22L13.1	8	4	5	7	6	2
ARHGEF16	591	556	610	744	668	558
RP11-168F9.2	2	1	0	3	1	2
MEGF6	1289	1178	812	1452	1451	947
RP11-46F15.2	13	16	15	12	9	7
TPRG1L	2017	2124	1835	2001	1642	1509
WRAP73	821	789	792	858	747	709
TP73	198	153	160	215	202	155
RP5-1092A11.5	2	2	1	0	2	3
RP5-1092A11.2	2	0	1	1	2	0
TP73-AS1	1574	1604	1561	1699	1569	1475
CCDC27	1	8	4	1	6	6
SMIM1	65	122	44	65	94	48
LRRC47	1579	1467	1608	1652	1342	1355
RP1-286D6.5	15	30	20	23	25	29
CEP104	1010	1025	1101	889	762	783
DFFB	183	210	228	250	200	232
C1orf174	681	652	645	713	588	600
LINC01134	47	48	25	65	45	37
RP13-614K11.1	4	2	0	2	6	3
RP13-614K11.2	1	0	2	0	0	2
RP5-1166F10.1	6	1	3	3	1	4
RP1-37J18.1	0	1	0	0	1	1
RP1-37J18.2	1	0	0	2	1	2
AJAP1	9	6	6	10	8	12
RP11-542C10.1	1	1	0	2	2	0
RP1-58B11.1	1	2	0	0	8	0
RP11-154H17.1	0	0	1	0	1	0
NPHP4	721	850	725	633	668	602
KCNAB2	792	852	863	1009	983	1021
CHD5	3835	4120	4684	2897	3391	3179
RPL22	4959	7165	5884	5808	6769	6069
RP1-120G22.11	2	3	3	5	4	5
RNF207	639	997	668	882	1182	735
ICMT	3184	3108	3515	2646	2238	2277
LINC00337	13	18	15	7	14	12
HES3	0	0	0	1	1	2
GPR153	185	250	199	217	279	160
ACOT7	2202	2346	2481	2587	2349	2261
HES2	497	661	809	874	888	909
ESPN	82	96	104	110	165	112
RP1-202O8.2	3	6	6	3	7	2
TNFRSF25	109	124	154	135	141	182
PLEKHG5	360	366	427	384	450	438
NOL9	765	818	787	1006	862	870
TAS1R1	2	9	4	1	4	6
ZBTB48	614	672	701	608	607	590
KLHL21	1687	1333	1740	1775	1259	1500
PHF13	1345	1480	1289	1440	1254	1127
THAP3	487	390	431	520	427	420
DNAJC11	1749	1540	1864	1862	1502	1738
RP11-242F24.1	3	1	0	2	3	1
RP11-312B8.1	1	10	9	7	6	3
CAMTA1	530	603	526	604	652	489
RP11-334N17.1	1	0	1	1	1	1
RP3-453P22.2	1	2	3	0	1	2
RP4-549F15.1	1	1	0	0	1	0
RP11-338N10.1	2	3	2	1	2	2
RP11-338N10.2	0	3	2	1	0	1
RP11-338N10.3	2	4	1	1	0	5
VAMP3	2521	2783	2504	2682	2529	2327
PER3	281	299	307	403	325	335
RP3-467L1.4	6	10	5	8	3	6
UTS2	3	2	1	7	2	3
TNFRSF9	9	8	12	29	29	20
PARK7	4823	5065	5233	5539	5108	4784
ERRFI1	7199	8697	9483	8993	8603	10350
RP11-431K24.1	14	12	14	16	13	14
RP11-431K24.3	3	1	3	4	2	4
RP11-431K24.4	0	3	1	1	1	1
SLC45A1	230	304	296	358	447	476
RERE	4334	4326	3994	4437	4260	3790
RP5-1115A15.1	1	5	6	7	3	4
RP4-633I8.4	0	0	1	1	0	0
ENO1	59471	67367	72978	74312	67542	68756
ENO1-AS1	1	1	0	1	1	0
CA6	6	0	0	4	4	2
SLC2A7	5	3	2	3	5	6
SLC2A5	5	8	4	7	15	9
GPR157	905	1070	1070	1403	1447	1088
RP3-510D11.1	2	2	0	2	2	2
RP3-510D11.2	1	2	6	6	7	2
H6PD	917	1195	1126	963	1020	935
SPSB1	980	851	936	1163	896	906
RP13-392I16.1	1	0	1	0	0	1
SLC25A33	587	575	585	659	527	552
TMEM201	1017	792	1008	1046	775	810
PIK3CD	661	608	475	697	517	446
C1orf200	3	1	1	1	4	2
RP11-558F24.4	93	106	109	89	105	121
CLSTN1	6823	7017	6785	6180	5568	5594
CTNNBIP1	536	642	503	524	472	406
LZIC	687	738	721	743	600	686
NMNAT1	236	279	316	278	257	255
RBP7	95	118	79	112	112	85
UBE4B	2014	2496	2068	1967	1811	1554
KIF1B	1846	2016	1766	1712	1515	1394
PGD	2971	3039	3238	3972	3299	3151
RP4-736L20.3	1	0	0	1	0	3
APITD1	202	222	215	178	179	162
CORT	9	3	5	6	2	4
DFFA	2379	2569	2528	2262	2169	1856
PEX14	795	673	724	732	615	631
CASZ1	562	488	598	567	456	565
RP4-734G22.3	29	16	26	17	21	12
C1orf127	7	6	8	2	7	8
TARDBP	2031	2150	2115	6075	4571	5092
MASP2	8	20	27	31	37	39
RP4-635E18.8	5	10	5	20	15	17
SRM	4030	3033	3563	4021	2668	2956
EXOSC10	1667	1536	1890	2326	1683	1801
RP4-635E18.7	1	10	3	4	7	10
RP4-635E18.6	9	9	13	19	7	11
MTOR	4169	4001	4170	4213	3600	3455
MTOR-AS1	2	0	3	2	4	0
ANGPTL7	7	6	8	3	6	5
UBIAD1	676	604	708	852	644	710
PTCHD2	15	16	13	22	34	16
RP1-69M21.2	2	2	2	0	3	2
FBXO2	1210	1676	1286	1199	1314	1098
FBXO44	812	1220	782	907	1086	814
FBXO6	308	320	283	394	326	263
MAD2L2	1100	1200	1123	1239	1109	999
DRAXIN	9	20	16	17	27	29
AGTRAP	981	1072	1007	1083	941	859
C1orf167	9	5	3	6	9	9
RP11-56N19.5	2	0	1	1	0	0
MTHFR	843	791	865	744	594	642
CLCN6	631	774	694	596	591	531
NPPA-AS1	10	3	11	10	4	5
NPPA	4	7	5	1	2	5
NPPB	0	4	2	1	1	2
KIAA2013	2933	3169	3124	2641	2409	2593
PLOD1	4551	5531	4732	4116	4584	4220
MFN2	5725	5754	5344	5590	4679	4530
MIIP	880	893	934	969	874	865
TNFRSF8	8	14	6	8	18	18
TNFRSF1B	586	588	711	1077	1090	992
VPS13D	1643	2051	1851	1618	1688	1433
RP5-888M10.2	1	2	0	1	0	0
DHRS3	503	1193	505	594	1002	513
RP11-474O21.5	6	11	10	6	10	2
AADACL4	1	1	2	1	6	3
AADACL3	4	5	4	6	2	3
C1orf158	3	1	2	7	9	4
PRAMEF12	2	5	2	2	4	5
PRAMEF1	4	1	2	8	8	4
RP5-845O24.8	1	0	1	1	1	1
PRAMEF11	5	1	2	2	2	3
HNRNPCL1	2	1	1	4	1	3
PRAMEF2	3	2	1	3	2	4
PRAMEF4	1	0	3	1	5	3
PRAMEF10	3	1	0	3	0	3
PRAMEF7	4	2	1	6	3	0
PRAMEF6	1	2	2	0	4	1
PRAMEF22	0	1	1	1	1	3
RP13-221M14.2	0	0	1	0	0	0
PRAMEF26	1	0	0	0	1	1
PRAMEF3	0	2	0	0	0	0
PRAMEF5	1	0	2	0	1	3
PRAMEF8	1	0	0	0	0	0
PRAMEF9	0	0	0	0	2	0
RP11-219C24.10	0	0	1	0	0	1
PRAMEF13	0	1	0	0	1	0
PRAMEF18	0	0	0	0	1	0
PRAMEF16	0	0	0	1	0	0
PRAMEF15	0	1	0	0	0	2
PRAMEF14	0	1	1	0	0	1
PRAMEF19	1	1	0	0	1	0
PRAMEF17	0	0	0	0	1	2
PRAMEF20	0	3	0	0	1	0
LRRC38	3	0	1	1	3	3
RP4-597A16.2	1	1	0	1	2	1
PDPN	4	6	2	4	7	4
PRDM2	812	881	913	1101	881	953
RP11-344F13.1	0	2	0	0	1	2
RP4-704D23.1	3	3	0	0	0	1
KAZN	165	229	194	224	219	239
TMEM51	723	573	774	906	607	789
C1orf195	2	1	4	1	4	0
FHAD1	27	30	25	24	44	48
RP3-467K16.2	1	1	2	2	4	0
RP3-467K16.7	1	2	0	1	1	4
RP3-467K16.4	8	6	5	6	11	8
EFHD2	3875	3457	3988	3557	2755	3267
CTRC	8	2	6	5	6	11
CELA2A	1	1	2	3	2	8
CELA2B	4	2	2	6	4	7
CASP9	231	253	274	251	264	241
DNAJC16	747	792	905	778	643	717
RP4-680D5.8	0	0	0	0	1	1
AGMAT	50	59	73	61	49	74
RP4-680D5.2	11	8	8	6	7	5
DDI2	1233	1087	1254	1111	840	981
PLEKHM2	1903	1647	1859	1456	1151	1353
RP11-288I21.1	7	9	6	6	8	9
SLC25A34	17	15	16	16	17	15
RP11-169K16.4	1	2	0	0	0	1
TMEM82	2	1	1	4	2	1
FBLIM1	25	12	28	32	35	43
RP11-169K16.9	48	46	45	62	38	34
SPEN	4269	3913	3732	4710	3950	3518
ZBTB17	764	686	750	732	589	600
C1orf64	4	2	2	1	5	3
HSPB7	9	15	3	7	11	4
CLCNKA	4	22	12	8	19	14
CLCNKB	2	5	5	4	5	7
FAM131C	82	101	100	116	142	112
EPHA2	8555	7236	8598	8859	6885	7913
RP11-276H7.2	18	13	14	20	21	21
RP11-276H7.3	17	8	6	17	13	11
ARHGEF19	339	313	295	415	414	360
C1orf134	47	55	54	52	45	40
RSG1	232	199	243	211	211	176
FBXO42	983	905	958	799	754	761
SZRD1	3239	3209	3311	2810	2396	2508
SPATA21	6	7	4	5	13	10
NECAP2	1309	1272	1292	1318	1230	1222
RP4-798A10.2	31	57	44	47	66	57
RP4-798A10.7	4	12	4	3	6	3
RP4-798A10.4	0	0	0	1	0	0
U1	48	37	38	44	44	42
FAM231B	1	1	0	0	1	0
NBPF1	2359	2150	2402	2724	2240	2460
RP5-1182A14.5	3	1	2	3	3	2
CROCCP2	874	891	903	940	839	817
FAM231A	0	3	1	0	0	1
FAM231C	1	0	0	0	3	1
CROCC	326	364	373	326	325	360
RP11-108M9.1	2	2	1	1	4	0
RP11-108M9.2	3	2	3	0	6	4
RP11-108M9.4	41	47	46	46	57	44
RP11-108M9.6	1	2	1	2	3	0
MFAP2	16	20	14	18	31	18
RP1-37C10.3	0	0	2	0	1	1
ATP13A2	1558	1565	1656	1593	1276	1325
SDHB	2919	2687	2946	2482	2111	1987
PADI2	5046	6669	4520	6476	7634	5266
RP11-380J14.1	8	8	10	14	11	8
PADI1	85	113	91	146	131	145
PADI3	107	121	81	146	211	95
PADI4	6	8	6	10	19	13
AC004824.2	1	0	1	0	0	0
RCC2	4535	4089	4346	4386	3558	3636
ARHGEF10L	137	182	109	195	201	137
RP11-473A10.2	2	1	1	0	2	5
ACTL8	4	4	3	1	1	6
RP11-174G17.2	3	2	3	1	6	4
IGSF21	4	5	5	2	2	2
RP11-174G17	1	1	1	0	3	3
RP11-422P22.1	0	0	0	0	0	4
KLHDC7A	5	0	2	6	2	2
PAX7	10	9	8	2	9	11
TAS1R2	1	0	1	1	4	1
RP13-279N23.2	0	0	3	1	0	1
ALDH4A1	290	413	296	284	334	250
IFFO2	2853	2722	2728	2283	1998	1828
UBR4	10338	8642	9581	11622	9648	9222
RP1-43E13.2	13	16	8	8	10	13
EMC1	5575	5417	5455	5385	4424	4439
MRTO4	2098	1867	2125	2623	1860	2065
AKR7A3	11	14	17	20	24	13
AKR7A2	1162	1111	1138	1246	1048	916
PQLC2	621	462	509	575	406	453
CAPZB	6102	7129	5817	6326	6300	5278
RP5-1056L3.1	0	1	1	0	1	1
MINOS1-NBL1	0	2	0	0	0	0
MINOS1	87	82	92	71	78	75
NBL1	205	248	165	230	232	161
HTR6	0	2	0	0	4	2
TMCO4	126	134	115	214	140	152
RNF186	1	0	1	1	2	1
RP11-91K11.2	1	2	0	2	1	1
OTUD3	662	721	697	690	653	656
PLA2G2E	2	0	3	1	1	2
PLA2G2A	5	4	1	0	5	2
PLA2G5	8	8	4	10	14	5
PLA2G2D	2	1	6	0	1	3
PLA2G2F	6	5	3	5	9	4
RP3-340N1.2	2	3	2	2	2	7
PLA2G2C	2	2	3	1	5	9
UBXN10-AS1	1	1	1	0	0	0
UBXN10	6	3	1	3	4	2
RP3-340N1.6	0	1	3	0	3	2
VWA5B1	8	11	9	12	11	21
RP4-745E8.2	0	0	0	0	1	1
LINC01141	4	6	3	1	4	8
RP4-749H3.2	0	2	2	0	0	1
CAMK2N1	110	140	158	135	151	163
MUL1	1278	1117	1213	1241	1067	1009
FAM43B	117	152	60	138	166	66
CDA	82	135	107	110	138	110
PINK1	818	1246	798	783	856	601
PINK1-AS	117	108	113	112	95	94
DDOST	8274	8051	7479	8324	6329	7147
KIF17	72	94	112	53	85	81
SH2D5	1625	1007	2161	1562	1026	1900
RP5-930J4.2	2	0	1	0	1	7
HP1BP3	2872	3772	3243	4350	3897	3596
EIF4G3	2917	3294	3315	3162	2897	2822
ECE1	7327	5808	6099	4848	3943	4143
RP3-329E20.2	1	2	1	1	2	1
RP5-1071N3.1	1	9	8	6	12	9
RP11-293F5.1	2	0	1	0	1	2
NBPF3	353	337	353	427	348	383
ALPL	6	4	5	7	5	7
RP11-63N8.3	0	1	0	1	1	4
RAP1GAP	218	165	238	245	164	221
USP48	1715	2177	2017	1979	2080	1801
LDLRAD2	7	6	5	5	6	8
HSPG2	7550	7341	9691	7379	7119	8334
CELA3B	2	0	1	4	3	4
CELA3A	4	2	4	5	4	8
RP1-224A6.3	1	1	3	0	2	3
LINC00339	234	261	270	227	217	229
CDC42	3950	4558	4463	4290	4221	3961
RP1-224A6.9	1	0	4	0	1	2
WNT4	34	29	19	52	52	19
ZBTB40	1334	1279	1438	1229	1030	1217
EPHA8	10	7	7	4	7	3
C1QA	3	0	2	1	2	2
C1QC	3	0	0	0	1	2
C1QB	0	1	1	1	2	2
EPHB2	2354	1452	2920	2225	1259	2487
RP11-69E9.1	2	1	4	0	1	2
RP1-74M1.3	33	12	73	20	16	46
LACTBL1	2	1	6	0	1	3
C1orf234	1	3	1	0	2	0
KDM1A	3507	3858	3526	3540	3484	3238
RP1-184J9.2	2	2	0	0	0	0
LUZP1	2360	2079	2315	2315	1896	1877
HTR1D	223	146	224	400	202	323
RP5-1057J7.6	81	115	95	122	87	91
HNRNPR	5147	5743	5938	5808	5113	5510
ZNF436	617	599	601	617	531	522
C1orf213	89	110	89	104	121	92
RP5-1057J7.7	1	0	0	1	1	4
TCEA3	72	112	107	67	123	74
ASAP3	278	424	232	251	339	169
E2F2	531	495	455	690	523	455
RP1-150O5.3	12	18	13	11	14	15
ID3	1604	2540	2005	1507	2635	1670
MDS2	4	1	0	2	2	3
RPL11	8806	11102	10967	8912	8705	7946
TCEB3	2458	2413	2710	1493	1278	1389
RP5-886K2.3	13	26	11	17	24	12
PITHD1	948	1023	1067	750	752	634
LYPLA2	1845	1942	2031	2054	1722	1830
GALE	2064	1834	2204	2347	1926	2215
HMGCL	399	603	465	515	519	498
FUCA1	321	414	362	422	416	372
CNR2	2	1	3	8	5	4
RP11-4M23.3	0	0	0	0	0	1
PNRC2	253	261	227	273	185	226
SRSF10	577	755	610	617	683	625
RP11-293P20.2	0	0	0	0	0	1
MYOM3	12	19	8	7	22	18
IL22RA1	29	31	24	74	106	47
IFNLR1	14	12	15	19	34	20
RP11-10N16.2	5	0	0	3	2	1
RP11-10N16.3	7	5	1	8	7	6
GRHL3	1009	1335	694	1575	1799	881
STPG1	214	283	281	224	254	195
NIPAL3	426	585	447	490	538	470
RCAN3	400	560	399	349	443	331
RP4-594I10.3	1	0	1	3	0	0
NCMAP	4	20	9	13	11	6
SRRM1	1899	2388	1999	2366	2469	2141
CLIC4	3601	4466	4018	4223	4422	3696
RUNX3	6	9	5	1	6	4
RP11-84D1.1	1	0	0	1	1	5
RP11-84D1.2	0	2	3	1	1	2
RP4-799D16.1	2	4	0	1	0	2
RP4-706G24.1	0	0	1	0	1	0
SYF2	347	419	366	342	422	307
C1orf63	817	958	660	904	825	619
RP3-465N24.6	2	5	2	3	1	1
RHD	26	19	16	17	18	18
TMEM50A	1531	1908	1618	1825	1822	1608
RHCE	5	8	6	6	9	10
TMEM57	300	379	307	273	232	237
LDLRAP1	890	832	815	1013	862	712
RP11-70P17.1	2	0	1	3	1	4
MAN1C1	14	9	15	9	15	10
RP1-187B23.1	2	2	0	1	2	6
SEPN1	1792	1843	1941	1999	1691	1760
RP1-317E23.3	1	1	0	0	0	2
MTFR1L	679	704	681	676	658	563
AL020996.1	1	1	2	1	6	2
RP1-317E23.7	0	1	0	0	0	0
AUNIP	236	234	249	269	211	183
RP1-125I3.2	1	1	0	2	2	3
PAQR7	561	511	494	610	461	487
STMN1	4976	6597	5770	5757	5576	4847
PAFAH2	437	465	499	424	389	387
EXTL1	15	18	9	11	12	19
SLC30A2	5	4	5	6	6	8
TRIM63	6	10	2	3	3	6
PDIK1L	191	192	194	200	187	198
FAM110D	5	11	6	8	12	6
ZNF593	0	5	2	2	1	0
RP11-96L14.7	4	2	2	3	2	2
CNKSR1	138	156	140	182	169	133
CATSPER4	3	4	5	1	1	6
CEP85	1938	1826	2120	1809	1562	1548
SH3BGRL3	2526	2379	2159	3113	2369	2061
UBXN11	649	728	670	514	455	488
CD52	0	0	0	0	0	2
AIM1L	46	36	45	60	49	58
ZNF683	7	9	2	2	5	10
LIN28A	11	16	12	16	20	23
DHDDS	1030	995	1119	1232	1053	1135
RP3-476K8.3	6	1	6	7	4	2
HMGN2	7019	6898	6698	6896	5340	5901
RPS6KA1	1451	1238	1541	1390	1173	1199
RP5-968P14.2	30	11	25	5	17	11
ARID1A	6950	6353	6387	6105	5343	5073
PIGV	336	411	366	396	334	349
ZDHHC18	1318	1114	1292	605	543	659
SFN	1309	1232	1275	1663	1329	1380
GPN2	778	727	736	964	732	802
GPATCH3	448	421	447	382	269	342
NUDC	5531	5133	5318	4149	3672	3314
NR0B2	2	0	3	3	1	4
C1orf172	18	22	22	16	24	23
TRNP1	388	339	541	466	392	596
FAM46B	481	300	530	440	285	408
SLC9A1	1104	1005	1342	1334	1001	1319
RP11-40H20.4	1	1	1	0	2	1
WDTC1	1296	1547	1245	1131	1199	1010
TMEM222	886	763	880	889	776	864
SYTL1	48	45	59	50	59	59
MAP3K6	879	814	871	856	839	631
FCN3	0	1	1	1	3	5
CD164L2	2	1	1	2	0	3
GPR3	40	48	54	40	37	46
WASF2	5050	4691	5832	5762	4690	5538
RP4-752I6.1	0	0	2	0	0	1
RP1-159A19.4	2	2	2	1	1	2
AHDC1	1905	1476	2308	2134	1477	2132
FGR	6	2	5	3	5	6
RP11-288L9.1	0	0	1	1	3	2
IFI6	43	59	42	87	116	53
RP11-288L9.4	2	1	3	3	3	3
FAM76A	134	174	160	115	120	116
STX12	522	645	555	283	298	235
PPP1R8	1180	1032	1205	900	738	844
THEMIS2	52	65	54	89	94	93
RPA2	1475	1708	1621	1573	1507	1465
SMPDL3B	13	7	12	9	19	6
RP11-460I13.2	0	0	1	0	0	0
XKR8	309	279	320	357	277	301
EYA3	651	654	660	492	478	412
PTAFR	15	13	20	13	13	12
DNAJC8	1598	1699	1916	1778	1543	1449
AL353354.1	2	0	1	4	1	2
ATPIF1	1069	1261	1180	1086	1065	995
RP5-1092A3.4	23	38	19	21	31	24
RP5-1092A3.5	0	0	2	1	1	3
SESN2	660	484	884	504	380	628
MED18	640	587	650	602	520	627
PHACTR4	1445	1394	1612	1769	1577	1522
RCC1	2797	2437	3000	2989	2217	2538
TRNAU1AP	556	610	610	531	528	487
SNHG12	246	266	296	229	244	253
TAF12	624	682	608	619	595	555
RAB42	14	10	5	9	20	9
RP11-442N24__B.1	15	9	6	17	5	10
RNU11	0	1	1	0	1	0
GMEB1	367	438	329	380	355	348
YTHDF2	2235	2263	2378	2007	1861	1827
OPRD1	8	7	8	8	8	4
RP1-212P9.2	6	6	3	2	4	2
RP1-212P9.3	1	3	1	0	0	1
EPB41	384	542	378	403	491	332
TMEM200B	16	17	9	21	20	9
RP11-242O24.3	2	3	1	0	1	1
SRSF4	2453	2488	2477	2142	2067	1894
RP11-242O24.5	3	3	4	0	9	2
MECR	454	397	399	449	436	406
RP11-467D18.2	8	6	5	11	6	5
PTPRU	77	130	113	97	224	124
RP3-437I16.1	1	0	0	2	6	1
RP4-656G21.1	0	0	1	1	1	0
RP11-111I12.1	1	1	1	5	2	5
RP5-893G23.1	0	2	0	0	2	0
RP4-591L5.1	0	1	2	2	2	0
RP4-591L5.2	0	1	2	1	0	1
MATN1	14	16	15	14	16	16
MATN1-AS1	43	35	32	43	56	48
LAPTM5	22	12	12	18	19	26
RP5-1125N11.1	0	0	0	0	1	0
RP1-65J11.1	2	2	3	2	5	3
RP1-65J11.5	1	2	1	1	3	0
SDC3	1272	1834	1454	1362	1523	1339
PUM1	2812	2724	2579	2763	2472	2384
NKAIN1	9	15	17	12	19	14
SNRNP40	1832	1517	1787	1668	1330	1426
ZCCHC17	452	574	504	521	497	476
RP11-266K22.2	1	2	0	0	0	1
FABP3	11	12	10	14	9	12
SERINC2	684	645	800	808	714	796
AC114494.1	3	1	2	2	1	0
RP11-439L8.3	1	1	1	0	2	2
RP11-439L8.4	2	0	4	2	5	9
RP11-73M7.1	3	2	1	1	5	5
TINAGL1	394	404	405	416	308	330
HCRTR1	3	6	6	7	8	7
PEF1	1294	1051	1218	1335	1064	1166
RP11-73M7.6	10	9	14	22	20	16
RP11-73M7.9	1	0	0	1	1	0
COL16A1	1013	983	909	1371	1384	1069
BAI2	1206	1567	1103	1316	1654	971
RP11-84A19.3	1	0	0	0	2	0
SPOCD1	31	24	49	47	33	47
RP11-84A19.2	3	3	0	1	4	4
RP11-84A19.4	2	5	1	4	4	5
PTP4A2	5154	5879	5688	5322	5023	5210
AL136115.1	10	7	7	4	6	4
RP4-534N18.2	2	3	1	1	4	2
KHDRBS1	4149	4386	4229	4257	3708	3715
RP11-277A4.4	3	5	3	4	3	4
TMEM39B	571	441	466	583	389	492
KPNA6	2696	2977	2626	2607	2621	2187
TXLNA	3895	4049	4006	3603	3333	3331
CCDC28B	126	197	122	153	187	151
RP4-622L5.7	7	5	3	5	5	8
IQCC	109	135	126	127	108	111
DCDC2B	7	9	4	6	10	16
TMEM234	237	251	208	170	201	137
EIF3I	5844	5644	5683	6237	5015	5262
FAM167B	9	13	14	16	13	15
LCK	6	9	5	9	9	3
HDAC1	5280	6027	5402	3549	3519	3028
MARCKSL1	1801	2212	1724	1600	1840	1313
RP4-811H24.9	4	0	5	0	3	3
TSSK3	9	9	8	13	8	4
FAM229A	59	83	62	75	75	64
BSDC1	1743	1683	1628	1542	1472	1210
ZBTB8B	15	18	11	21	26	18
ZBTB8A	88	80	65	72	72	70
ZBTB8OS	502	617	493	479	496	453
RBBP4	3036	3294	3165	2967	2643	2482
SYNC	8	9	16	12	12	15
RP11-114B7.6	0	0	1	1	2	2
KIAA1522	1855	1974	1764	1426	1313	1129
YARS	4513	4109	5621	5273	4045	5699
S100PBP	938	947	901	1005	910	861
FNDC5	25	51	23	29	26	32
